CODIGO  ,DESCRICAO DO INSUMO,UNIDADE DE MEDIDA,ORIGEM DO PRECO,PRECO MEDIANO R$
37477,"ADUELA/GALERIA DE CONCRETO ARMADO, SECAO RETANGULAR 2.50 X 2.50 M (L X A), C = 1.00 M, E = 20 CM                                                                                                                                                                                                                                                                                                                                                                                                          ",UN    ,CR,"2.401,63"
37479,"ADUELA/GALERIA DE CONCRETO ARMADO, SECAO RETANGULAR 3.00 X 3.00 M (L X A), C = 1.00 M, E = 20 CM                                                                                                                                                                                                                                                                                                                                                                                                          ",UN    ,CR,"3.002,96"
4319,AFASTADOR PARA TELHA DE FIBROCIMENTO CANALETE 90 OU KALHETAO                                                                                                                                                                                                                                                                                                                                                                                                                                              ,UN    ,CR,"0,79"
43064,"AGENTE DE CURA, PROTETOR DA EVAPORACAO DA AGUA DE HIDRATACAO DO CONCRETO (COLETADO CAIXA)                                                                                                                                                                                                                                                                                                                                                                                                                 ",KG    ,CR,"7,56"
40553,"AGREGADO RECICLADO, TIPO RACHAO RECICLADO CINZA, CLASSE A                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",M3    ,C ,"34,08"
13003,AGUA SANITARIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,L     ,CR,"2,73"
6114,AJUDANTE DE ARMADOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,H     ,CR,"11,11"
40912,AJUDANTE DE ARMADOR (MENSALISTA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,MES   ,CR,"1.952,92"
247,AJUDANTE DE ELETRICISTA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,H     ,CR,"12,41"
40919,AJUDANTE DE ELETRICISTA (MENSALISTA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,MES   ,CR,"2.181,52"
25958,AJUDANTE DE ESTRUTURAS METALICAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,H     ,CR,"13,40"
40984,AJUDANTE DE ESTRUTURAS METALICAS (MENSALISTA)                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,MES   ,CR,"2.355,47"
248,AJUDANTE DE OPERACAO EM GERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,H     ,CR,"11,50"
41086,AJUDANTE DE OPERACAO EM GERAL (MENSALISTA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,MES   ,CR,"2.020,81"
34466,AJUDANTE DE PINTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,H     ,CR,"12,97"
41083,AJUDANTE DE PINTOR (MENSALISTA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,MES   ,CR,"2.278,75"
252,AJUDANTE DE SERRALHEIRO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,H     ,CR,"11,91"
40909,AJUDANTE DE SERRALHEIRO (MENSALISTA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,MES   ,CR,"2.094,69"
242,AJUDANTE ESPECIALIZADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,H     ,CR,"16,65"
41085,AJUDANTE ESPECIALIZADO (MENSALISTA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,MES   ,CR,"2.927,22"
427,"ALCA PREFORMADA DE CONTRA POSTE, EM ACO GALVANIZADO, PARA CABO 3/16"", COMPRIMENTO *860* MM                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"4,76"
417,"ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CABO DE ALUMINIO DIAMETRO 16 A 25 MM                                                                                                                                                                                                                                                                                                                                                                                                            ",UN    ,CR,"2,24"
11273,"ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 1/0 (CAA 6/1 OU CA 7 FIOS)                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"6,96"
11272,"ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 2 (CAA 6/1 OU CA 7 FIOS)                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"4,20"
11275,"ALCA PREFORMADA DE SERVICO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 4 (CAA 6/1)                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"1,68"
11274,"ALCA PREFORMADA DE SERVICO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 6 (CAA 6/1)                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"1,28"
38470,"ALICATE DE CORTE DIAGONAL 6 "" COM ISOLAMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",UN    ,C ,"36,52"
38547,"ALICATE DE CRIMPAR RJ11, RJ12 E RJ45                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",UN    ,CR,"99,65"
38469,"ALICATE DE PRESSAO PARA SOLDA DE CHAPA 18 ""                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"107,16"
38467,"ALICATE DE PRESSAO 11 "" PARA SOLDA, TIPO C                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"60,29"
38468,"ALICATE DE PRESSAO 11 "" PARA SOLDA, TIPO U                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"66,35"
38471,"ALICATE PARA ANEIS DE PISTAO, CAPACIDADE 50 A 100 MM                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",UN    ,CR,"86,16"
37370,ALIMENTACAO - HORISTA (COLETADO CAIXA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,H     ,C ,"2,62"
40862,ALIMENTACAO - MENSALISTA (COLETADO CAIXA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,MES   ,C ,"480,53"
10658,"ALISADORA DE CONCRETO COM MOTOR A GASOLINA DE 5,5 HP, PESO COM MOTOR DE 78 KG, 4 PAS                                                                                                                                                                                                                                                                                                                                                                                                                      ",UN    ,C ,"6.900,00"
253,ALMOXARIFE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,H     ,C ,"18,95"
40809,ALMOXARIFE (MENSALISTA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,MES   ,CR,"3.327,39"
42428,"ALONGADOR COM TRES ALTURAS, EM TUBO DE ACO CARBONO, PINTURA NO PROCESSO ELETROSTATICO - EQUIPAMENTO DE GINASTICA PARA ACADEMIA AO AR LIVRE / ACADEMIA DA TERCEIRA IDADE - ATI                                                                                                                                                                                                                                                                                                                             ",UN    ,C ,"1.290,00"
583,ALUMINIO ANODIZADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,KG    ,CR,"27,28"
299,"ANEL BORRACHA DN 100 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"1,79"
298,"ANEL BORRACHA DN 75 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                                                          ",UN    ,CR,"1,80"
295,ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 40 MM (NBR 5688)                                                                                                                                                                                                                                                                                                                                                                                                                                                ,UN    ,CR,"1,07"
296,ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 50 MM (NBR 5688)                                                                                                                                                                                                                                                                                                                                                                                                                                                ,UN    ,CR,"1,11"
297,ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 75 MM (NBR 5688)                                                                                                                                                                                                                                                                                                                                                                                                                                                ,UN    ,CR,"1,57"
301,"ANEL BORRACHA PARA TUBO ESGOTO PREDIAL, DN 100 MM (NBR 5688)                                                                                                                                                                                                                                                                                                                                                                                                                                              ",UN    ,C ,"1,97"
300,"ANEL BORRACHA, DN 150 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                                                        ",UN    ,CR,"8,27"
20084,"ANEL BORRACHA, DN 40 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"1,07"
20085,"ANEL BORRACHA, DN 50 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"0,99"
311,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 100 MM (NBR 7665)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"6,40"
318,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 150 MM (NBR 7665)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"11,22"
319,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 200 MM (NBR 7665)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"21,19"
320,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 250 MM (NBR 7665)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"67,36"
314,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 300 MM (NBR 7665)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"103,47"
303,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 100 MM (NBR 7362)                                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"2,68"
304,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 125 MM (NBR 7362)                                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"4,09"
305,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 150 MM (NBR 7362)                                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"7,00"
306,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 200 MM (NBR 7362)                                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"8,41"
307,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 250 MM (NBR 7362)                                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"16,61"
309,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 350 MM (NBR 7362)                                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"34,04"
310,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 400 MM (NBR 7362)                                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"43,18"
328,"ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 100 MM, PARA REDE AGUA                                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"5,15"
325,"ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 50 MM, PARA REDE AGUA                                                                                                                                                                                                                                                                                                                                                                                                                                        ",UN    ,CR,"1,99"
20326,"ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 60 MM, PARA REDE AGUA                                                                                                                                                                                                                                                                                                                                                                                                                                        ",UN    ,CR,"5,35"
329,"ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 75 MM, PARA REDE AGUA                                                                                                                                                                                                                                                                                                                                                                                                                                        ",UN    ,CR,"6,58"
308,"ANEL BORRACHA, PARA TUBO, PVC REDE COLETOR ESGOTO, DN 300 MM (NBR 7362)                                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"22,18"
39642,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"1,34"
39641,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"0,93"
39643,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 2""                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"3,74"
39644,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 3""                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"4,83"
39645,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 4""                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"6,24"
12548,"ANEL DE CONCRETO ARMADO, D = *1,10* M, H = 0,30 M                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"69,38"
13113,"ANEL DE CONCRETO ARMADO, D = 0,60 M, H = 0,10 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"28,43"
13114,"ANEL DE CONCRETO ARMADO, D = 0,60 M, H = 0,15 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"34,62"
12530,"ANEL DE CONCRETO ARMADO, D = 0,60 M, H = 0,30 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"42,18"
12531,"ANEL DE CONCRETO ARMADO, D = 0,60 M, H = 0,40 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"47,18"
12532,"ANEL DE CONCRETO ARMADO, D = 0,60 M, H = 0,50 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"57,70"
12533,"ANEL DE CONCRETO ARMADO, D = 0,80 M, H = 0,30 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"68,83"
12544,"ANEL DE CONCRETO ARMADO, D = 0,80 M, H = 0,50 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"84,07"
12546,"ANEL DE CONCRETO ARMADO, D = 1,00 M, H = 0,40 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"87,03"
12547,"ANEL DE CONCRETO ARMADO, D = 1,00 M, H = 0,50 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"101,21"
12551,"ANEL DE CONCRETO ARMADO, D = 1,20 M, H = 0,50 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"110,21"
12563,"ANEL DE CONCRETO ARMADO, D = 1,50 M, H = 0,50 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"173,10"
12565,"ANEL DE CONCRETO ARMADO, D = 2,00 M, H = 0,50 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"272,40"
12567,"ANEL DE CONCRETO ARMADO, D = 2,50 M, H = 0,50 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"354,45"
12568,"ANEL DE CONCRETO ARMADO, D = 3,00 M, H = 0,50 M                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"585,26"
11789,ANEL DE DISTRIBUICAO EM ACO GALVANIZADO PARA FIO FE-160                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,UN    ,CR,"0,63"
20975,"ANEL DE EXPANSAO EM COBRE, ENGATE RAPIDO 1 1/2"", PARA EMPATACAO MANGUEIRA DE COMBATE A INCENDIO PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"8,65"
20976,"ANEL DE EXPANSAO EM COBRE, ENGATE RAPIDO 2 1/2"", PARA EMPATACAO MANGUEIRA DE COMBATE A INCENDIO PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"13,07"
